tip	date	distance	residual
Tacaiuma|1999	1999.0	1.3677776450788093	0.022905243683665866
Tacaiuma|1955	1955.0	1.461840285078809	-0.10361664227405676
Tacaiuma|1975	1975.0	1.3727513250788093	-0.09243990865691032
Boraceia|1965	1965.0	1.5985704650788093	0.0832463845345166
Boraceia|1962	1962.0	1.5934810450788093	0.06311711049194502
Anopheles_B|1940	1940.0	1.5797890150788092	-0.06086718248691625
Triniti|2014	2014.0	1.6768734750788092	0.4072003438965255
Triniti|1955	1955.0	1.7679379250788094	0.20248099772594363
Triniti|1973	1973.0	1.6458209750788093	0.17060317198137476
Lukuni|1955	1955.0	1.245729995078809	-0.3197269322740568
Anopheles_A|1940	1940.0	1.2285456950788092	-0.4121105024869163
Lukuni|1976	1976.0	1.203412815078809	-0.25676513397605216
Las_Maloyas|1980	1980.0	1.1272609050788094	-0.31286390525262364
Bangui|1970	1970.0	1.6323575650788094	0.14209990793880323
Bangui|2017	2017.0	1.6196908150788092	0.365057537939097
Nyangole|2013	2013.0	1.3763659250788094	0.10167950921566726
Okola|1964	1964.0	1.1177506849211907	-0.4025866803039586
Tataguine|1971	1971.0	1.0912000849211907	-0.39404428753795706
Tataguine|1966	1966.0	1.0882886249211907	-0.4220221709422436
Tataguine|1972	1972.0	1.0912512749211907	-0.3889798128571005
Tataguine|1979	1979.0	1.0705396849211906	-0.37459841009109907
Tanga|1962	1962.0	1.6297090249211905	0.09934509033432626
Bunyamwera|1943	1943.0	3.508502614921191	1.882886271398037
